4.395040,2.213505,179.028203,5.127881,5.128210,X,X,X,X,X,X,X,X
4.370016,2.213932,179.027967,5.128055,5.128206,X,X,X,X,X,X,X,X
4.345051,2.214359,179.028301,5.127939,5.128210,X,X,X,X,X,X,X,X
4.320075,2.214785,179.028151,5.127919,5.128184,X,X,X,X,X,X,X,X
4.295067,2.215213,179.028445,5.128009,5.128196,X,X,X,X,X,X,X,X
4.270102,2.215639,179.028239,5.127838,5.128186,X,X,X,X,X,X,X,X
4.245095,2.216067,179.027409,5.127876,5.128189,X,X,X,X,X,X,X,X
4.220131,2.216495,179.027090,5.127779,5.128180,X,X,X,X,X,X,X,X
4.195098,2.216921,179.028522,5.127971,5.128188,X,X,X,X,X,X,X,X
4.170122,2.217345,179.028740,5.128187,5.128201,X,X,X,X,X,X,X,X
4.145106,2.217772,179.028189,5.128172,5.128126,X,X,X,X,X,X,X,X
4.120121,2.218198,179.028733,5.128181,5.128040,X,X,X,X,X,X,X,X
4.095165,2.218622,179.029114,5.128203,5.127930,X,X,X,X,X,X,X,X
4.070167,2.219049,179.028148,5.128189,5.128065,X,X,X,X,X,X,X,X
4.045170,2.219475,179.028080,5.128185,5.127896,X,X,X,X,X,X,X,X
4.020160,2.219902,179.027319,5.128191,5.128135,X,X,X,X,X,X,X,X
3.995197,2.220325,179.027884,5.128207,5.127849,X,X,X,X,X,X,X,X
3.970184,2.220754,179.025023,5.128204,5.127874,X,X,X,X,X,X,X,X
3.945181,2.221182,179.024464,5.128193,5.128098,X,X,X,X,X,X,X,X
3.920200,2.221608,179.024515,5.128202,5.127926,X,X,X,X,X,X,X,X
3.895206,2.222035,179.024956,5.128201,5.127941,X,X,X,X,X,X,X,X
3.870216,2.222461,179.025911,5.128204,5.128044,X,X,X,X,X,X,X,X
3.845228,2.222887,179.024215,5.128205,5.127914,X,X,X,X,X,X,X,X
3.820231,2.223314,179.022664,5.128205,5.127872,X,X,X,X,X,X,X,X
3.795225,2.223744,179.020383,5.128205,5.128027,X,X,X,X,X,X,X,X
3.770248,2.224172,179.020581,5.128205,5.127974,X,X,X,X,X,X,X,X
3.745252,2.224601,179.020838,5.128202,5.128029,X,X,X,X,X,X,X,X
3.720257,2.225029,179.022814,5.128203,5.127997,X,X,X,X,X,X,X,X
3.695302,2.225454,179.024709,5.128208,5.127698,X,X,X,X,X,X,X,X
3.670278,2.225882,179.027258,5.128202,5.128089,X,X,X,X,X,X,X,X
3.645305,2.226306,179.025498,5.128204,5.127823,X,X,X,X,X,X,X,X
3.620326,2.226733,179.024164,5.128206,5.127915,X,X,X,X,X,X,X,X
3.595315,2.227160,179.025040,5.128207,5.127715,X,X,X,X,X,X,X,X
3.570329,2.227587,179.023326,5.128202,5.127982,X,X,X,X,X,X,X,X
3.545351,2.228013,179.024518,5.128202,5.127834,X,X,X,X,X,X,X,X
3.520337,2.228442,179.022867,5.128192,5.128061,X,X,X,X,X,X,X,X
3.495363,2.228869,179.023879,5.128200,5.127988,X,X,X,X,X,X,X,X
3.470370,2.229298,179.021322,5.128201,5.127863,X,X,X,X,X,X,X,X
3.445365,2.229727,179.021285,5.128201,5.127844,X,X,X,X,X,X,X,X
3.420379,2.230155,179.021805,5.128197,5.128024,X,X,X,X,X,X,X,X
3.395385,2.230584,179.022327,5.128192,5.128110,X,X,X,X,X,X,X,X
3.370411,2.231011,179.022083,5.128198,5.127818,X,X,X,X,X,X,X,X
3.345417,2.231439,179.023332,5.128193,5.127966,X,X,X,X,X,X,X,X
3.320415,2.231867,179.022227,5.128201,5.127773,X,X,X,X,X,X,X,X
3.295432,2.232296,179.021868,5.128199,5.127878,X,X,X,X,X,X,X,X
3.270446,2.232725,179.020197,5.128200,5.127773,X,X,X,X,X,X,X,X
3.245451,2.233155,179.018576,5.128201,5.127777,X,X,X,X,X,X,X,X
3.220451,2.233585,179.019054,5.128202,5.127804,X,X,X,X,X,X,X,X
3.195488,2.234014,179.019814,5.128206,5.127904,X,X,X,X,X,X,X,X
3.170472,2.234443,179.020004,5.128195,5.127941,X,X,X,X,X,X,X,X
3.145473,2.234871,179.022088,5.128191,5.127987,X,X,X,X,X,X,X,X
3.120502,2.235298,179.021785,5.128200,5.127790,X,X,X,X,X,X,X,X
3.095502,2.235727,179.022097,5.128187,5.127989,X,X,X,X,X,X,X,X
3.070521,2.236156,179.021832,5.128196,5.128001,X,X,X,X,X,X,X,X
3.045513,2.236583,179.022932,5.128187,5.127850,X,X,X,X,X,X,X,X
3.020524,2.237012,179.023132,5.128184,5.128052,X,X,X,X,X,X,X,X
2.995528,2.237441,179.022342,5.128180,5.127962,X,X,X,X,X,X,X,X
2.970556,2.237870,179.021787,5.128177,5.128031,X,X,X,X,X,X,X,X
2.945566,2.238298,179.021663,5.128182,5.127802,X,X,X,X,X,X,X,X
2.920572,2.238730,179.019507,5.128183,5.127944,X,X,X,X,X,X,X,X
2.895571,2.239158,179.021344,5.128177,5.127929,X,X,X,X,X,X,X,X
2.870572,2.239587,179.021725,5.128162,5.128025,X,X,X,X,X,X,X,X
2.845601,2.240015,179.023075,5.128167,5.127943,X,X,X,X,X,X,X,X
2.820594,2.240444,179.022727,5.128174,5.128097,X,X,X,X,X,X,X,X
2.795610,2.240872,179.023293,5.128162,5.128047,X,X,X,X,X,X,X,X
2.770633,2.241302,179.021737,5.128167,5.128096,X,X,X,X,X,X,X,X
2.745636,2.241733,179.020313,5.128169,5.127945,X,X,X,X,X,X,X,X
2.720661,2.242164,179.018691,5.128181,5.127767,X,X,X,X,X,X,X,X
2.695673,2.242595,179.018598,5.128161,5.127936,X,X,X,X,X,X,X,X
2.670677,2.243029,179.015526,5.128164,5.127826,X,X,X,X,X,X,X,X
2.645665,2.243461,179.015914,5.128166,5.128119,X,X,X,X,X,X,X,X
2.620681,2.243895,179.014393,5.128172,5.127982,X,X,X,X,X,X,X,X
2.595701,2.244327,179.014778,5.128163,5.128022,X,X,X,X,X,X,X,X
2.570692,2.244759,179.015180,5.128166,5.128169,X,X,X,X,X,X,X,X
2.545713,2.245191,179.015828,5.128153,5.127866,X,X,X,X,X,X,X,X
2.520712,2.245622,179.017428,5.128163,5.127970,X,X,X,X,X,X,X,X
2.495717,2.246054,179.016591,5.128146,5.128102,X,X,X,X,X,X,X,X
2.470731,2.246485,179.016917,5.128161,5.127780,X,X,X,X,X,X,X,X
2.445752,2.246916,179.017671,5.128161,5.127959,X,X,X,X,X,X,X,X
2.420758,2.247345,179.019634,5.128156,5.128032,X,X,X,X,X,X,X,X
2.395766,2.247777,179.018818,5.128153,5.127924,X,X,X,X,X,X,X,X
2.370770,2.248207,179.019363,5.128162,5.127927,X,X,X,X,X,X,X,X
2.345787,2.248639,179.018301,5.128156,5.127953,X,X,X,X,X,X,X,X
2.320782,2.249072,179.016469,5.128162,5.127889,X,X,X,X,X,X,X,X
2.295813,2.249504,179.016010,5.128152,5.127803,X,X,X,X,X,X,X,X
2.270817,2.249936,179.016317,5.128155,5.127874,X,X,X,X,X,X,X,X
2.245834,2.250369,179.015464,5.128152,5.127874,X,X,X,X,X,X,X,X
2.220850,2.250802,179.014935,5.128154,5.127875,X,X,X,X,X,X,X,X
2.195838,2.251237,179.013881,5.128159,5.127948,X,X,X,X,X,X,X,X
2.170869,2.251669,179.014307,5.128144,5.127964,X,X,X,X,X,X,X,X
2.145853,2.252101,179.015767,5.128150,5.128029,X,X,X,X,X,X,X,X
2.120859,2.252533,179.016247,5.128134,5.128109,X,X,X,X,X,X,X,X
2.095883,2.252959,179.019993,5.128140,5.127972,X,X,X,X,X,X,X,X
2.070890,2.253391,179.020013,5.128133,5.127818,X,X,X,X,X,X,X,X
2.045884,2.253825,179.017807,5.128136,5.128106,X,X,X,X,X,X,X,X
2.020919,2.254255,179.018317,5.128132,5.128000,X,X,X,X,X,X,X,X
1.995927,2.254690,179.016705,5.128138,5.127975,X,X,X,X,X,X,X,X
1.970940,2.255121,179.017340,5.128120,5.127910,X,X,X,X,X,X,X,X
1.945956,2.255555,179.016250,5.128121,5.127817,X,X,X,X,X,X,X,X
1.920942,2.255988,179.015962,5.128136,5.128044,X,X,X,X,X,X,X,X
1.895975,2.256422,179.014816,5.128133,5.127799,X,X,X,X,X,X,X,X
1.870992,2.256856,179.014038,5.128130,5.127826,X,X,X,X,X,X,X,X
1.848245,2.257283,179.042817,4.120714,4.251302,X,X,X,X,X,X,X,X
1.829823,2.257670,179.117843,3.223489,3.402477,X,X,X,X,X,X,X,X
1.815713,2.257999,179.237033,2.295986,2.534991,X,X,X,X,X,X,X,X
1.805905,2.258275,179.398354,1.390094,1.673764,X,X,X,X,X,X,X,X
1.800318,2.258543,179.601932,0.577987,0.999497,X,X,X,X,X,X,X,X
1.796755,2.259024,-179.921805,0.161438,0.999131,X,X,X,X,X,X,X,X
1.793955,2.259715,-179.105583,-0.209054,0.994941,X,X,X,X,X,X,X,X
1.791946,2.260605,-177.962652,-0.564195,0.999231,X,X,X,X,X,X,X,X
1.790687,2.261705,-176.488827,-0.935887,0.999292,X,X,X,X,X,X,X,X
1.789973,2.262952,-174.803338,-1.000248,0.999596,X,X,X,X,X,X,X,X
1.789294,2.264259,-173.126117,-1.000172,0.999813,X,X,X,X,X,X,X,X
1.788826,2.265494,-171.491833,-1.000504,1.000359,X,X,X,X,X,X,X,X
1.788474,2.266644,-169.888602,-1.000823,1.002493,X,X,X,X,X,X,X,X
1.788014,2.267751,-168.284151,-1.001298,1.025584,X,X,X,X,X,X,X,X
1.787581,2.268755,-166.743851,-1.000327,0.956103,X,X,X,X,X,X,X,X
1.786946,2.269765,-165.132498,-0.999904,0.999430,X,X,X,X,X,X,X,X
1.786096,2.270816,-163.449434,-1.000011,0.999462,X,X,X,X,X,X,X,X
1.785186,2.271873,-161.765301,-1.000119,0.999467,X,X,X,X,X,X,X,X
1.784220,2.272918,-160.079481,-1.000224,0.999488,X,X,X,X,X,X,X,X
1.783211,2.273941,-158.392601,-1.000302,0.999526,X,X,X,X,X,X,X,X
1.782162,2.274935,-156.705395,-1.000343,0.999562,X,X,X,X,X,X,X,X
1.781079,2.275896,-155.018165,-1.000359,0.999585,X,X,X,X,X,X,X,X
1.779964,2.276823,-153.330824,-1.000361,0.999592,X,X,X,X,X,X,X,X
1.778821,2.277714,-151.643415,-1.000359,0.999592,X,X,X,X,X,X,X,X
1.777650,2.278569,-149.955989,-1.000357,0.999590,X,X,X,X,X,X,X,X
1.776456,2.279389,-148.268616,-1.000351,0.999579,X,X,X,X,X,X,X,X
1.775236,2.280172,-146.581170,-1.000351,0.999584,X,X,X,X,X,X,X,X
1.773995,2.280919,-144.893746,-1.000357,0.999626,X,X,X,X,X,X,X,X
1.772732,2.281630,-143.206381,-1.000344,0.999588,X,X,X,X,X,X,X,X
1.771449,2.282303,-141.519122,-1.000345,0.999628,X,X,X,X,X,X,X,X
1.770148,2.282941,-139.831826,-1.000295,0.999558,X,X,X,X,X,X,X,X
1.768828,2.283537,-138.144560,-1.000339,0.999595,X,X,X,X,X,X,X,X
1.767491,2.284095,-136.457459,-1.000337,0.999598,X,X,X,X,X,X,X,X
1.766139,2.284614,-134.770739,-1.000450,0.999828,X,X,X,X,X,X,X,X
1.764770,2.285090,-133.083666,-1.000538,1.000015,X,X,X,X,X,X,X,X
1.763391,2.285526,-131.396807,-1.000444,0.999848,X,X,X,X,X,X,X,X
1.761997,2.285924,-129.709509,-1.000288,0.999585,X,X,X,X,X,X,X,X
1.760591,2.286275,-128.022137,-1.000330,0.999598,X,X,X,X,X,X,X,X
1.759176,2.286586,-126.334881,-1.000329,0.999592,X,X,X,X,X,X,X,X
1.757756,2.286858,-124.647867,-1.000221,0.999701,X,X,X,X,X,X,X,X
1.756329,2.287093,-122.960326,-1.000050,0.999958,X,X,X,X,X,X,X,X
1.754895,2.287287,-121.271994,-1.000011,0.999981,X,X,X,X,X,X,X,X
1.753451,2.287430,-119.584286,-0.999997,0.999847,X,X,X,X,X,X,X,X
1.752005,2.287527,-117.896675,-1.000000,0.999984,X,X,X,X,X,X,X,X
1.750558,2.287587,-116.208513,-1.000201,0.999844,X,X,X,X,X,X,X,X
1.749107,2.287605,-114.521180,-1.000331,0.999688,X,X,X,X,X,X,X,X
